date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:48:15	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2265020b3f-239b%22	https://themewagon.github.io/robots.txt		(from )
13:48:15	39245/39245	---M-Z	200	added ('OK')	text/html	etag:W/%22639afc2f-994d%22	https://themewagon.github.io/proman/	C:/Users/Hisyam%20Maulana/Downloads/wahyu/themewagon.github.io/proman/index.html	(from )
13:48:15	9379/9379	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2265020b3f-24a3%22	https://themewagon.github.io/proman/img/favicon.ico	C:/Users/Hisyam%20Maulana/Downloads/wahyu/themewagon.github.io/proman/img/favicon.ico	(from https://themewagon.github.io/proman/)
13:48:16	56517/56517	---M-Z	200	added ('OK')	text/css	etag:%225eb03e60-dcc5%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.10.0/css/all.min.css	C:/Users/Hisyam%20Maulana/Downloads/wahyu/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.10.0/css/all.min.css	(from https://themewagon.github.io/proman/)
13:48:17	63666/63666	---M-Z	200	added ('OK')	text/css	etag:W/%22f8b2-v7ZMVELJO4O8jF4rcNGwrm8YAaE%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css	C:/Users/Hisyam%20Maulana/Downloads/wahyu/cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css	(from https://themewagon.github.io/proman/)
13:48:17	16953/16953	---M-Z	200	added ('OK')	text/css	etag:W/%22639afc2f-4239%22	https://themewagon.github.io/proman/lib/animate/animate.min.css	C:/Users/Hisyam%20Maulana/Downloads/wahyu/themewagon.github.io/proman/lib/animate/animate.min.css	(from https://themewagon.github.io/proman/)
13:48:17	2608/2608	---M-Z	200	added ('OK')	text/css	etag:W/%22639afc2f-a30%22	https://themewagon.github.io/proman/lib/lightbox/css/lightbox.min.css	C:/Users/Hisyam%20Maulana/Downloads/wahyu/themewagon.github.io/proman/lib/lightbox/css/lightbox.min.css	(from https://themewagon.github.io/proman/)
13:48:17	2936/2936	---M-Z	200	added ('OK')	text/css	etag:W/%22639afc2f-b78%22	https://themewagon.github.io/proman/lib/owlcarousel/assets/owl.carousel.min.css	C:/Users/Hisyam%20Maulana/Downloads/wahyu/themewagon.github.io/proman/lib/owlcarousel/assets/owl.carousel.min.css	(from https://themewagon.github.io/proman/)
13:48:18	164158/164158	---M-Z	200	added ('OK')	text/css	etag:W/%22639afc2f-2813e%22	https://themewagon.github.io/proman/css/bootstrap.min.css	C:/Users/Hisyam%20Maulana/Downloads/wahyu/themewagon.github.io/proman/css/bootstrap.min.css	(from https://themewagon.github.io/proman/)
13:48:18	7425/7425	---M-Z	200	added ('OK')	text/css	etag:W/%22639afc2f-1d01%22	https://themewagon.github.io/proman/css/style.css	C:/Users/Hisyam%20Maulana/Downloads/wahyu/themewagon.github.io/proman/css/style.css	(from https://themewagon.github.io/proman/)
13:48:18	39245/39245	---M-Z	200	added ('OK')	text/html	etag:W/%22639afc2f-994d%22	https://themewagon.github.io/proman/index.html	C:/Users/Hisyam%20Maulana/Downloads/wahyu/themewagon.github.io/proman/index-2.html	(from https://themewagon.github.io/proman/)
13:48:19	434988/434988	---M--	200	added ('OK')	image/png	etag:%22639afc2f-6a32c%22	https://themewagon.github.io/proman/img/profile.png	C:/Users/Hisyam%20Maulana/Downloads/wahyu/themewagon.github.io/proman/img/profile.png	(from https://themewagon.github.io/proman/)
13:48:19	15410/15410	---M--	200	added ('OK')	image/jpeg	etag:%22639afc2f-3c32%22	https://themewagon.github.io/proman/img/about-1.jpg	C:/Users/Hisyam%20Maulana/Downloads/wahyu/themewagon.github.io/proman/img/about-1.jpg	(from https://themewagon.github.io/proman/)
13:48:19	23267/23267	---M--	200	added ('OK')	image/jpeg	etag:%22639afc2f-5ae3%22	https://themewagon.github.io/proman/img/about-2.jpg	C:/Users/Hisyam%20Maulana/Downloads/wahyu/themewagon.github.io/proman/img/about-2.jpg	(from https://themewagon.github.io/proman/)
13:48:19	8788/8788	---M--	200	added ('OK')	image/jpeg	etag:%22639afc2f-2254%22	https://themewagon.github.io/proman/img/project-1.jpg	C:/Users/Hisyam%20Maulana/Downloads/wahyu/themewagon.github.io/proman/img/project-1.jpg	(from https://themewagon.github.io/proman/)
13:48:20	14736/14736	---M--	200	added ('OK')	image/jpeg	etag:%22639afc2f-3990%22	https://themewagon.github.io/proman/img/project-2.jpg	C:/Users/Hisyam%20Maulana/Downloads/wahyu/themewagon.github.io/proman/img/project-2.jpg	(from https://themewagon.github.io/proman/)
13:48:20	19812/19812	---M--	200	added ('OK')	image/jpeg	etag:%22639afc2f-4d64%22	https://themewagon.github.io/proman/img/project-3.jpg	C:/Users/Hisyam%20Maulana/Downloads/wahyu/themewagon.github.io/proman/img/project-3.jpg	(from https://themewagon.github.io/proman/)
13:48:20	19377/19377	---M--	200	added ('OK')	image/jpeg	etag:%22639afc2f-4bb1%22	https://themewagon.github.io/proman/img/project-4.jpg	C:/Users/Hisyam%20Maulana/Downloads/wahyu/themewagon.github.io/proman/img/project-4.jpg	(from https://themewagon.github.io/proman/)
13:48:20	21597/21597	---M--	200	added ('OK')	image/jpeg	etag:%22639afc2f-545d%22	https://themewagon.github.io/proman/img/project-5.jpg	C:/Users/Hisyam%20Maulana/Downloads/wahyu/themewagon.github.io/proman/img/project-5.jpg	(from https://themewagon.github.io/proman/)
13:48:21	11890/11890	---M--	200	added ('OK')	image/jpeg	etag:%22639afc2f-2e72%22	https://themewagon.github.io/proman/img/project-6.jpg	C:/Users/Hisyam%20Maulana/Downloads/wahyu/themewagon.github.io/proman/img/project-6.jpg	(from https://themewagon.github.io/proman/)
13:48:21	22673/22673	---M--	200	added ('OK')	image/jpeg	etag:%22639afc2f-5891%22	https://themewagon.github.io/proman/img/team-1.jpg	C:/Users/Hisyam%20Maulana/Downloads/wahyu/themewagon.github.io/proman/img/team-1.jpg	(from https://themewagon.github.io/proman/)
13:48:21	34179/34179	---M--	200	added ('OK')	image/jpeg	etag:%22639afc2f-8583%22	https://themewagon.github.io/proman/img/team-2.jpg	C:/Users/Hisyam%20Maulana/Downloads/wahyu/themewagon.github.io/proman/img/team-2.jpg	(from https://themewagon.github.io/proman/)
13:48:21	35436/35436	---M--	200	added ('OK')	image/jpeg	etag:%22639afc2f-8a6c%22	https://themewagon.github.io/proman/img/team-3.jpg	C:/Users/Hisyam%20Maulana/Downloads/wahyu/themewagon.github.io/proman/img/team-3.jpg	(from https://themewagon.github.io/proman/)
